_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
155.97859100	-57.70461300	155.978591	-57.704613	10235486-5742166	15.947		14.770		14.583	0.114	UUB	002	001	000	2	0
155.97972100	-57.74728400	155.979721	-57.747284	10235513-5744502	16.420	0.153	15.780		14.650		BUU	200	100	c00	2	0
155.97980200	-57.72717700	155.979802	-57.727177	10235515-5743378	16.227	0.113	15.685	0.130	15.318	0.197	BBC	222	111	000	0	0
155.98235900	-57.70299900	155.982359	-57.702999	10235576-5742107	15.616		14.550		14.696	0.206	UUC	002	001	000	2	0
155.98194000	-57.74425900	155.981940	-57.744259	10235566-5744393	15.863	0.112	15.265	0.164	15.015	0.195	BCC	222	111	c00	2	0
155.98209300	-57.70692400	155.982093	-57.706924	10235570-5742249	16.500	0.146	15.390		14.314		BUU	200	100	c00	2	0
155.98160700	-57.73154100	155.981607	-57.731541	10235558-5743535	16.416		15.801	0.167	15.159	0.157	UCC	022	011	0p0	0	0
155.98172300	-57.71108200	155.981723	-57.711082	10235561-5742398	11.560	0.026	10.985	0.023	10.882	0.021	AAA	222	111	000	2	0
155.97988700	-57.73811700	155.979887	-57.738117	10235517-5744172	16.023		15.601	0.169	14.560	0.100	UCA	022	011	0cc	0	0
155.98013400	-57.73568000	155.980134	-57.735680	10235523-5744084	14.057	0.023	13.329	0.022	13.024	0.021	AAA	222	111	000	0	0
155.98848300	-57.71830700	155.988483	-57.718307	10235723-5743059	15.538		15.690	0.208	13.785		UCU	020	010	000	2	0
155.99633800	-57.74570500	155.996338	-57.745705	10235912-5744445	13.402	0.029	12.668	0.036	12.258	0.036	AAA	222	111	000	2	0
155.98887700	-57.72133600	155.988877	-57.721336	10235733-5743168	14.747	0.028	14.102	0.027	14.144	0.061	AAA	222	111	000	2	0
155.99722500	-57.70518900	155.997225	-57.705189	10235933-5742186	16.113	0.151	13.862		12.837		BUU	200	100	000	2	0
155.99729900	-57.71587800	155.997299	-57.715878	10235935-5742571	13.717	0.035	13.565	0.060	13.468	0.051	AAA	222	111	000	2	0
155.99637000	-57.74311800	155.996370	-57.743118	10235912-5744352	16.443	0.153	14.689	0.119	13.488	0.069	BBE	222	111	p00	2	0
155.99657800	-57.74971400	155.996578	-57.749714	10235917-5744589	12.991	0.067	12.409	0.073	12.136	0.064	AAA	222	111	000	2	0
155.99765700	-57.74761200	155.997657	-57.747612	10235943-5744514	15.599		14.658		15.010	0.214	UUC	002	001	00c	2	0
155.99569800	-57.73622500	155.995698	-57.736225	10235896-5744104	14.736	0.053	14.391	0.067	14.189	0.094	AAA	222	111	000	0	0
155.99749100	-57.70249600	155.997491	-57.702496	10235939-5742089	15.984	0.155	13.999		12.963		BUU	200	100	c00	2	0
155.99795700	-57.70148800	155.997957	-57.701488	10235950-5742053	15.057		14.678	0.106	13.705	0.095	UAA	022	011	000	2	0
155.99531900	-57.72657000	155.995319	-57.726570	10235887-5743356	15.586	0.076	13.916	0.057	13.125	0.064	AAA	222	111	000	0	0
155.97713000	-57.70902600	155.977130	-57.709026	10235451-5742324	16.295	0.113	15.746	0.148	15.240		BBU	220	110	cc0	2	0
155.99943600	-57.72824900	155.999436	-57.728249	10235986-5743416	16.009	0.138	13.853		14.542	0.179	BUC	202	101	c0c	0	0
155.99921100	-57.73991400	155.999211	-57.739914	10235981-5744236	15.383	0.066	13.949	0.098	13.551	0.043	AAA	222	111	000	2	0
155.99935900	-57.73814000	155.999359	-57.738140	10235984-5744173	14.918	0.086	14.145	0.109	13.786	0.106	ABA	222	111	0p0	2	0
155.99858200	-57.73682400	155.998582	-57.736824	10235965-5744125	15.616		15.322		14.849	0.163	UUC	002	001	00p	0	0
155.99899800	-57.74922600	155.998998	-57.749226	10235975-5744572	13.578	0.049	12.330	0.085	11.362	0.050	AAA	222	111	c00	2	0
155.99553500	-57.72154600	155.995535	-57.721546	10235892-5743175	17.219		16.345		15.017	0.151	UUB	002	001	000	2	0
155.99501900	-57.72458600	155.995019	-57.724586	10235880-5743285	17.014		16.320		14.680	0.106	UUA	002	001	000	0	0
155.98902600	-57.73933000	155.989026	-57.739330	10235736-5744215	15.919	0.097	15.276	0.134	14.143		ABU	226	220	cc0	0	0
155.98964300	-57.73755300	155.989643	-57.737553	10235751-5744151	14.397	0.073	13.356	0.091	12.862	0.079	AAA	222	111	000	0	0
155.99068200	-57.73250600	155.990682	-57.732506	10235776-5743570	14.990	0.056	14.502	0.063	14.262	0.105	AAA	222	111	000	0	0
155.98937100	-57.73614900	155.989371	-57.736149	10235744-5744101	15.680	0.107	14.768	0.106	13.888	0.119	AAB	222	111	ccc	0	0
155.98958600	-57.74493000	155.989586	-57.744930	10235750-5744417	13.106		12.433		13.597	0.086	UUA	002	001	00c	2	0
155.99144000	-57.74907700	155.991440	-57.749077	10235794-5744566	16.390	0.151	15.079	0.091	14.572	0.137	BAB	222	111	ccc	2	0
155.98930700	-57.74648700	155.989307	-57.746487	10235743-5744473	16.157	0.142	14.931	0.105	14.490	0.116	BAB	222	111	ccc	2	0
155.99112300	-57.72818400	155.991123	-57.728184	10235786-5743414	16.073	0.115	15.448	0.158	14.270		BCU	220	110	000	0	0
155.99256400	-57.73869300	155.992564	-57.738693	10235821-5744192	15.358	0.101	14.125	0.098	13.775	0.104	AAA	222	111	000	0	0
155.99475900	-57.73128100	155.994759	-57.731281	10235874-5743526	15.691	0.069	15.180	0.085	14.826	0.148	AAB	222	111	ppp	0	0
155.99445500	-57.70285800	155.994455	-57.702858	10235866-5742102	14.888	0.105	14.301	0.169	13.672	0.156	ACC	222	111	000	2	0
155.99461600	-57.73991000	155.994616	-57.739910	10235870-5744236	16.099	0.111	14.904	0.082	14.451	0.131	BAB	222	111	0p0	2	0
155.99417300	-57.74301100	155.994173	-57.743011	10235860-5744348	16.458	0.128	14.928	0.087	14.494	0.104	BAA	222	111	ccc	2	0
155.99420500	-57.70940000	155.994205	-57.709400	10235860-5742338	15.911	0.080	15.612	0.126	14.500		ABU	220	110	000	2	0
155.99332700	-57.73704500	155.993327	-57.737045	10235839-5744133	16.302	0.163	14.749	0.128	13.817	0.119	CBB	222	111	pp0	0	0
155.99368100	-57.74459800	155.993681	-57.744598	10235848-5744405	15.506	0.088	14.108	0.071	13.316	0.048	AAE	222	111	c00	2	0
155.97728100	-57.73353600	155.977281	-57.733536	10235454-5744007	15.658	0.079	13.758	0.045	13.068	0.036	AAA	222	111	p00	0	0
155.95237000	-57.74980200	155.952370	-57.749802	10234856-5744592	13.846	0.024	12.901	0.025	12.568	0.037	AAA	222	111	000	0	0
155.97679500	-57.73180800	155.976795	-57.731808	10235443-5743545	16.421		15.822	0.164	14.891	0.142	UCB	022	011	0cc	0	0
155.94893700	-57.74126800	155.948937	-57.741268	10234774-5744285	12.754	0.023	12.406	0.022	12.223	0.024	AAA	222	111	000	0	0
155.94948500	-57.71130800	155.949485	-57.711308	10234787-5742407	12.816	0.028	12.651	0.045	12.529	0.051	AAA	222	111	000	0	0
155.94686500	-57.73804500	155.946865	-57.738045	10234724-5744169	15.520	0.050	14.564	0.068	14.427	0.085	AAA	222	111	000	0	0
155.94801400	-57.71361500	155.948014	-57.713615	10234752-5742490	16.065		15.318	0.153	14.388	0.117	UBB	022	011	0c0	0	0
155.95108900	-57.71931800	155.951089	-57.719318	10234826-5743095	16.194	0.123	15.881		15.189		BUU	260	200	c00	0	0
155.94682000	-57.70040500	155.946820	-57.700405	10234723-5742014	14.921	0.040	14.477	0.052	14.358	0.099	AAA	222	111	000	0	0
155.95015900	-57.72310300	155.950159	-57.723103	10234803-5743231	15.214	0.080	14.755	0.107	14.348	0.111	AAB	222	111	000	0	0
155.95149700	-57.73931900	155.951497	-57.739319	10234835-5744215	16.675	0.162	14.871	0.070	14.024	0.064	CAA	222	111	c00	0	0
