_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
155.92584100	-57.81295000	155.925841	-57.812950	10234220-5748466	16.145	0.098	15.439	0.135	15.843		ABU	220	110	cc0	0	0
155.93122700	-57.81693300	155.931227	-57.816933	10234349-5749009	15.596	0.068	15.010	0.072	15.076	0.149	AAB	222	111	000	0	0
155.93456400	-57.82183100	155.934564	-57.821831	10234429-5749185	15.732		15.650	0.196	14.883	0.169	UCC	022	011	000	0	0
155.93463200	-57.81670800	155.934632	-57.816708	10234431-5749001	14.987	0.066	14.709	0.090	14.461	0.087	AAA	222	111	000	0	0
155.92168400	-57.81536100	155.921684	-57.815361	10234120-5748552	16.516	0.136	16.348		16.385		BUU	200	100	000	0	0
155.98165600	-57.82640100	155.981656	-57.826401	10235559-5749350	15.932	0.079	14.806	0.075	14.165	0.076	AAA	222	111	ccc	0	0
155.98110700	-57.81570400	155.981107	-57.815704	10235546-5748565	15.746	0.061	14.978	0.090	14.472	0.093	AAA	222	111	c00	0	0
155.97922000	-57.81686400	155.979220	-57.816864	10235501-5749007	15.098	0.046	14.890	0.075	14.749	0.133	AAB	222	111	000	0	0
155.97901400	-57.82365000	155.979014	-57.823650	10235496-5749251	16.034	0.094	15.386	0.133	14.321		ABU	220	110	cc0	0	0
155.98341300	-57.82981900	155.983413	-57.829819	10235601-5749473	15.004	0.050	14.762	0.049	14.562	0.093	AAA	222	111	00c	0	0
155.98513400	-57.82509600	155.985134	-57.825096	10235643-5749303	16.630	0.144	15.311		14.658		CUU	200	100	c00	0	0
155.97874700	-57.81333200	155.978747	-57.813332	10235489-5748479	15.298	0.033	13.528	0.022	12.606	0.019	AAA	222	111	000	0	0
155.97745100	-57.82011400	155.977451	-57.820114	10235458-5749124	13.421	0.022	13.359	0.022	13.233	0.027	AAA	222	111	000	0	0
155.97431500	-57.82543600	155.974315	-57.825436	10235383-5749315	9.916	0.022	8.594	0.049	8.077	0.034	AAA	211	111	000	0	0
155.97170800	-57.81394200	155.971708	-57.813942	10235320-5748501	14.552	0.023	14.183	0.036	14.232	0.069	AAA	222	111	000	0	0
155.97160600	-57.82209800	155.971606	-57.822098	10235318-5749195	12.846	0.029	12.529	0.033	12.520	0.027	AAA	222	111	00c	0	0
155.97729500	-57.83578900	155.977295	-57.835789	10235455-5750088	17.759		15.922		14.933	0.144	UUB	002	001	000	0	0
155.98559800	-57.83326300	155.985598	-57.833263	10235654-5749597	14.728	0.036	14.333	0.036	14.254	0.084	AAA	222	111	000	0	0
155.98692800	-57.81284700	155.986928	-57.812847	10235686-5748462	15.133	0.045	14.352	0.047	14.217	0.059	AAA	222	111	c00	0	0
155.99640700	-57.81251100	155.996407	-57.812511	10235913-5748450	17.295		15.892	0.162	14.098	0.069	UCA	022	011	0c0	0	0
155.94668400	-57.81580000	155.946684	-57.815800	10234720-5748568	16.098		13.976	0.066	12.613	0.048	UAA	022	011	000	0	0
155.99589100	-57.81949200	155.995891	-57.819492	10235901-5749101	15.386	0.040	14.965	0.052	15.237	0.186	AAC	222	111	000	0	0
155.99563800	-57.82431000	155.995638	-57.824310	10235895-5749275	12.710	0.023	12.537	0.022	12.540	0.021	AAA	222	111	000	0	0
155.99698700	-57.83610200	155.996987	-57.836102	10235927-5750099	15.839		15.821	0.174	15.166	0.154	UCC	022	011	000	0	0
155.99973000	-57.83797800	155.999730	-57.837978	10235993-5750167	15.327	0.045	13.720	0.065	12.914	0.039	AAA	222	111	c00	2	0
155.99886200	-57.81521600	155.998862	-57.815216	10235972-5748547	16.472	0.137	15.656		15.140		BUU	200	100	c00	0	0
155.99863100	-57.83639900	155.998631	-57.836399	10235967-5750110	16.170	0.106	15.059		14.839		AUU	200	100	000	0	0
155.99478300	-57.81428100	155.994783	-57.814281	10235874-5748514	15.967	0.098	15.605	0.128	15.088		ABU	220	110	000	0	0
155.99433800	-57.82703000	155.994338	-57.827030	10235864-5749373	11.386	0.022	10.865	0.022	10.763	0.019	AAA	222	111	000	0	0
155.98746900	-57.82724000	155.987469	-57.827240	10235699-5749380	12.067	0.023	11.808	0.023	11.760	0.024	AAA	222	111	000	0	0
155.98823500	-57.81890100	155.988235	-57.818901	10235717-5749080	16.216	0.095	15.601	0.116	16.135		BBU	220	110	000	0	0
155.98995000	-57.82970800	155.989950	-57.829708	10235758-5749469	16.186	0.115	15.668	0.142	14.882		BBU	226	210	cc0	0	0
155.98797500	-57.83885600	155.987975	-57.838856	10235711-5750198	15.454	0.051	15.143	0.067	15.124	0.147	AAB	222	111	000	0	0
155.98880000	-57.82077400	155.988800	-57.820774	10235731-5749147	14.793	0.032	14.104	0.036	14.000	0.067	AAA	222	111	000	0	0
155.99366900	-57.83606000	155.993669	-57.836060	10235848-5750098	17.141		14.888	0.078	13.961	0.059	UAA	022	011	000	0	0
155.99094800	-57.83069600	155.990948	-57.830696	10235782-5749505	15.984	0.114	15.557	0.154	14.464		BBU	226	210	cc0	0	0
155.97095400	-57.83442700	155.970954	-57.834427	10235302-5750039	13.744	0.032	13.487	0.038	13.534	0.050	AAA	222	111	000	0	0
155.94102600	-57.82028600	155.941026	-57.820286	10234584-5749130	16.237	0.128	15.505	0.169	14.877	0.184	BCC	222	111	000	0	0
155.95178900	-57.83057800	155.951789	-57.830578	10234842-5749500	16.237	0.095	15.692	0.131	14.880		BBU	220	110	cc0	0	0
155.95225600	-57.82318500	155.952256	-57.823185	10234854-5749234	14.370	0.028	13.740	0.022	13.491	0.038	AAE	222	111	000	0	0
155.94174000	-57.81651300	155.941740	-57.816513	10234601-5748594	15.256	0.053	14.887	0.108	14.446	0.140	AAB	222	111	000	0	0
155.95294300	-57.82057200	155.952943	-57.820572	10234870-5749140	16.755	0.172	15.498	0.094	15.046	0.137	CBB	222	111	000	0	0
155.95240900	-57.81513200	155.952409	-57.815132	10234857-5748544	17.311		15.973		15.129	0.161	UUC	002	001	000	0	0
155.93846000	-57.81486900	155.938460	-57.814869	10234523-5748535	16.077	0.091	15.202	0.111	15.043	0.152	ABB	222	111	000	0	0
155.94800300	-57.81599000	155.948003	-57.815990	10234752-5748575	16.180	0.109	13.835		12.467		AUU	200	100	000	0	0
155.94817100	-57.82181500	155.948171	-57.821815	10234756-5749185	15.956	0.098	15.463	0.127	14.928	0.134	ABB	222	111	000	0	0
155.94667300	-57.81384700	155.946673	-57.813847	10234720-5748498	15.143	0.041	14.615	0.055	14.407	0.082	AAA	222	111	000	0	0
155.97048200	-57.81875600	155.970482	-57.818756	10235291-5749075	13.494	0.022	12.437	0.022	12.126	0.023	AAA	222	111	000	0	0
155.94447400	-57.82738900	155.944474	-57.827389	10234667-5749386	16.140		16.461		15.155	0.147	UUC	002	001	000	0	0
155.94206900	-57.82278800	155.942069	-57.822788	10234609-5749220	15.403	0.056	14.491	0.065	14.386	0.084	AAA	222	111	000	0	0
155.96328100	-57.82157500	155.963281	-57.821575	10235118-5749176	14.094	0.024	13.723	0.035	13.718	0.050	AAA	222	111	000	0	0
155.96206100	-57.83057400	155.962061	-57.830574	10235089-5749500	16.568	0.145	16.184		15.820		BUU	200	100	000	0	0
155.96177500	-57.83210000	155.961775	-57.832100	10235082-5749555	17.692		15.659	0.113	14.304	0.068	UBA	022	011	000	0	0
155.96039300	-57.82310900	155.960393	-57.823109	10235049-5749231	16.891		15.929	0.152	14.711	0.120	UCB	022	011	0c0	0	0
155.96850000	-57.81960300	155.968500	-57.819603	10235244-5749105	16.463	0.123	14.344		13.862		BUU	200	100	c00	0	0
155.96829900	-57.81548300	155.968299	-57.815483	10235239-5748557	14.074	0.022	13.179	0.027	12.804	0.023	AAA	222	111	000	0	0
155.96704400	-57.83180200	155.967044	-57.831802	10235209-5749544	16.109	0.091	15.407	0.104	15.873		AAU	220	110	000	0	0
155.95519400	-57.81417500	155.955194	-57.814175	10234924-5748510	17.220		15.527	0.110	14.080	0.058	UBA	022	011	0p0	0	0
155.95591500	-57.82935300	155.955915	-57.829353	10234941-5749456	16.635		14.145	0.025	13.030	0.019	UAA	022	011	000	0	0
156.05852100	-57.81827900	156.058521	-57.818279	10241404-5749058	16.045		14.976		15.078	0.193	UUC	002	001	00c	2	0
156.05864700	-57.81601000	156.058647	-57.816010	10241407-5748576	14.635		15.154	0.160	12.875		UCU	626	020	0c0	2	0
156.02235300	-57.81714600	156.022353	-57.817146	10240536-5749017	13.221	0.022	12.979	0.022	12.915	0.019	AAA	222	111	000	2	0
156.05802700	-57.83517800	156.058027	-57.835178	10241392-5750066	15.214		14.135	0.035	12.968		UAU	626	020	0c0	2	0
156.02165900	-57.81562400	156.021659	-57.815624	10240519-5748562	16.406		15.841		14.609	0.111	UUB	002	001	00c	2	0
156.02079600	-57.83921400	156.020796	-57.839214	10240499-5750211	16.024	0.091	15.195	0.079	14.886	0.136	AAB	222	111	000	2	0
156.03468000	-57.81914100	156.034680	-57.819141	10240832-5749089	15.894	0.114	15.136	0.150	14.506	0.140	BBB	222	111	000	2	0
156.02062600	-57.82489000	156.020626	-57.824890	10240495-5749296	14.265	0.130	11.993		11.204		BUU	200	100	c00	2	0
156.05520600	-57.81329000	156.055206	-57.813290	10241324-5748478	16.027	0.161	14.439	0.113	13.535	0.082	CBA	222	111	cc0	0	0
156.02239500	-57.82620200	156.022395	-57.826202	10240537-5749343	15.922	0.290	14.898	0.311	13.603	0.164	DDC	222	111	ccc	2	0
156.05538800	-57.82412300	156.055388	-57.824123	10241329-5749268	13.630	0.022	13.363	0.023	13.162	0.057	AAA	222	111	000	2	0
156.01905500	-57.83450300	156.019055	-57.834503	10240457-5750042	15.450		14.811	0.087	13.870	0.047	UAA	022	011	000	2	0
156.05311400	-57.82004900	156.053114	-57.820049	10241274-5749121	15.154		14.147		13.703	0.123	UUB	062	002	00c	2	0
156.05671700	-57.82249100	156.056717	-57.822491	10241361-5749209	16.333		14.625	0.044	12.843	0.041	UAA	022	011	000	2	0
156.05663600	-57.83448800	156.056636	-57.834488	10241359-5750041	14.816		14.907	0.055	13.147		UAU	626	020	0c0	2	0
156.02041100	-57.82232700	156.020411	-57.822327	10240489-5749203	11.709	0.039	11.606	0.061	11.552	0.062	AAA	222	111	000	2	0
156.05605000	-57.83728800	156.056050	-57.837288	10241345-5750142	16.396	0.136	15.925	0.176	15.543	0.267	BCD	222	111	000	2	0
156.03566000	-57.82785000	156.035660	-57.827850	10240855-5749402	15.565	0.209	14.909	0.284	13.720	0.168	CDC	222	111	000	2	0
156.01838800	-57.82526000	156.018388	-57.825260	10240441-5749309	14.900	0.068	14.247	0.137	13.943	0.210	ABC	222	111	ccc	2	0
156.05556300	-57.81680700	156.055563	-57.816807	10241333-5749005	15.244	0.070	13.499	0.073	12.480	0.052	AAA	222	111	000	2	0
156.05994900	-57.81419800	156.059949	-57.814198	10241438-5748511	13.520	0.036	13.487	0.060	13.429	0.060	AAE	222	212	c0c	2	0
156.04463200	-57.82820500	156.044632	-57.828205	10241071-5749415	16.728		15.168	0.081	15.015	0.207	UAC	022	011	000	2	0
156.06004200	-57.83913400	156.060042	-57.839134	10241441-5750208	15.570	0.077	15.109	0.093	15.004	0.164	AAC	222	111	ccc	2	0
156.02840200	-57.82680900	156.028402	-57.826809	10240681-5749365	15.814	0.105	15.602	0.146	15.433	0.295	ABD	222	111	00c	2	0
156.03087500	-57.81679900	156.030875	-57.816799	10240741-5749004	16.342	0.161	15.704	0.251	13.599		CDU	220	110	000	2	0
156.03301900	-57.82534800	156.033019	-57.825348	10240792-5749312	16.098	0.187	16.051		14.899		CUU	200	100	p00	2	0
156.02708900	-57.81998800	156.027089	-57.819988	10240650-5749119	15.308	0.050	14.669	0.071	14.118	0.089	AAA	222	111	000	2	0
156.02625400	-57.81531500	156.026254	-57.815315	10240630-5748551	16.982		16.126		14.118	0.086	UUA	002	001	000	2	0
156.06020200	-57.81539500	156.060202	-57.815395	10241444-5748554	13.863		14.266	0.107	12.726		UAU	626	020	0c0	2	0
156.06200600	-57.83829100	156.062006	-57.838291	10241488-5750178	14.252	0.030	13.997	0.035	14.010	0.058	AAA	222	111	000	2	0
156.06242400	-57.82661100	156.062424	-57.826611	10241498-5749357	12.304	0.022	11.945	0.022	11.977	0.019	AAE	222	111	000	2	0
156.02251400	-57.83724600	156.022514	-57.837246	10240540-5750140	16.571		15.502	0.107	14.613	0.097	UBA	022	011	000	2	0
156.06231700	-57.81618100	156.062317	-57.816181	10241495-5748582	15.673	0.134	15.305	0.174	13.400		BCU	220	110	cc0	2	0
156.02280500	-57.82733500	156.022805	-57.827335	10240547-5749384	15.348		14.134		13.814	0.174	UUC	002	001	000	2	0
156.02253200	-57.82435600	156.022532	-57.824356	10240540-5749276	12.517		11.567	0.072	10.505	0.036	UEE	022	011	000	2	0
156.02574300	-57.82112500	156.025743	-57.821125	10240617-5749160	15.965		14.719		14.583	0.127	UUB	002	001	00c	2	0
156.02497600	-57.82495900	156.024976	-57.824959	10240599-5749298	14.422		14.811	0.200	13.824	0.094	UCA	022	011	0cc	2	0
156.02353300	-57.83374000	156.023533	-57.833740	10240564-5750014	15.789	0.100	15.433	0.109	14.199		ABU	220	110	000	2	0
156.04318500	-57.83622400	156.043185	-57.836224	10241036-5750104	15.486	0.060	15.009	0.062	15.595	0.280	AAD	222	111	0p0	2	0
156.05153500	-57.83153900	156.051535	-57.831539	10241236-5749535	15.048	0.046	14.749	0.048	14.586	0.123	AAB	222	111	000	2	0
156.00257700	-57.82794600	156.002577	-57.827946	10240061-5749406	16.369	0.102	15.949		15.204		BUU	200	100	c00	2	0
156.00161000	-57.83908800	156.001610	-57.839088	10240038-5750207	14.731	0.043	14.488	0.044	14.307	0.072	AAA	222	111	00c	2	0
156.00118500	-57.81625400	156.001185	-57.816254	10240028-5748585	15.666	0.069	14.384	0.049	13.453	0.047	AAA	222	111	000	0	0
156.00090500	-57.82975400	156.000905	-57.829754	10240021-5749471	15.554	0.057	14.916	0.053	14.505	0.085	AAA	222	111	000	2	0
156.00332700	-57.83347300	156.003327	-57.833473	10240079-5750005	15.724	0.069	15.370	0.095	15.327	0.188	AAC	222	111	000	2	0
156.00667800	-57.81733300	156.006678	-57.817333	10240160-5749023	15.550	0.045	15.124	0.072	14.546		AAU	220	110	c00	2	0
156.00541200	-57.82626000	156.005412	-57.826260	10240129-5749345	16.418	0.115	15.256		14.511		BUU	200	100	000	2	0
156.00404300	-57.81952700	156.004043	-57.819527	10240097-5749102	16.560	0.142	15.800	0.146	15.153		BBU	220	110	000	2	0
156.03704000	-57.82543600	156.037040	-57.825436	10240888-5749315	15.998	0.114	14.357		13.866		BUU	266	200	c00	2	0
156.03757500	-57.81541100	156.037575	-57.815411	10240901-5748554	16.071	0.167	14.888	0.187	13.856	0.137	CCB	222	111	000	2	0
156.04100200	-57.81481600	156.041002	-57.814816	10240984-5748533	16.113	0.096	15.532	0.130	16.727	0.721	ABD	222	111	00c	2	0
156.03814500	-57.82199100	156.038145	-57.821991	10240915-5749191	16.078	0.167	14.914		14.782		CUU	200	100	000	2	0
156.04093000	-57.83659000	156.040930	-57.836590	10240982-5750117	16.304	0.129	14.584		13.964		BUU	200	100	c00	2	0
156.03937400	-57.82273100	156.039374	-57.822731	10240944-5749218	16.737		15.693	0.163	14.922		UCU	020	010	000	2	0
156.04476700	-57.81532700	156.044767	-57.815327	10241074-5748551	15.562	0.065	15.000	0.066	15.450	0.244	AAD	222	111	000	2	0
156.04345200	-57.82850600	156.043452	-57.828506	10241042-5749426	16.494	0.151	15.345		14.914		BUU	200	100	000	2	0
156.04036800	-57.82698100	156.040368	-57.826981	10240968-5749371	15.614	0.065	15.283	0.098	16.248	0.559	AAD	222	111	000	2	0
156.03986900	-57.83197400	156.039869	-57.831974	10240956-5749551	15.577	0.198	14.786	0.244	12.738		CDU	220	110	000	2	0
156.03795800	-57.82706500	156.037958	-57.827065	10240910-5749374	15.900	0.134	14.463		14.142		BUU	200	100	c00	2	0
156.04883700	-57.82228100	156.048837	-57.822281	10241172-5749202	15.652	0.069	15.437	0.110	16.738	0.868	ABD	222	111	00c	2	0
156.01415900	-57.81600600	156.014159	-57.816006	10240339-5748576	16.102		15.375		14.916	0.222	UUD	002	001	00c	2	0
156.04833200	-57.81795100	156.048332	-57.817951	10241159-5749046	15.432	0.081	14.810	0.096	14.433	0.115	AAB	222	111	000	2	0
156.04932500	-57.83474300	156.049325	-57.834743	10241183-5750050	16.504		16.083	0.224	14.734	0.126	UDB	022	011	000	2	0
156.04813900	-57.81607800	156.048139	-57.816078	10241155-5748578	16.296	0.135	15.896		14.725		BUU	200	100	000	0	0
156.01494900	-57.83997300	156.014949	-57.839973	10240358-5750239	17.670		16.219		15.085	0.164	UUC	002	001	00c	2	0
156.01492900	-57.82761000	156.014929	-57.827610	10240358-5749393	11.728	0.023	11.190	0.023	11.095	0.023	AAA	222	111	000	2	0
156.05114200	-57.82027100	156.051142	-57.820271	10241227-5749129	16.177		14.765		14.000	0.176	UUC	062	002	00c	2	0
156.04967100	-57.81453300	156.049671	-57.814533	10241192-5748523	16.187	0.143	15.385	0.167	14.779	0.168	BCC	222	111	000	0	0
156.04742900	-57.83945800	156.047429	-57.839458	10241138-5750220	14.897	0.024	14.337	0.038	14.315	0.077	AAA	222	111	000	2	0
156.01353100	-57.81726800	156.013531	-57.817268	10240324-5749021	16.363	0.145	15.796	0.189	14.435		BCU	220	110	cc0	2	0
156.00738200	-57.82836500	156.007382	-57.828365	10240177-5749421	14.598	0.030	14.265	0.062	11.846		AAU	220	110	cc0	2	0
156.00974900	-57.82783500	156.009749	-57.827835	10240233-5749402	14.025	0.047	11.469	0.027	10.230	0.021	AAA	222	111	000	2	0
156.00977600	-57.81512800	156.009776	-57.815128	10240234-5748544	12.378	0.030	12.257	0.047	11.971	0.037	AEE	222	111	000	2	0
156.00919500	-57.82146800	156.009195	-57.821468	10240220-5749172	13.082	0.023	12.078	0.022	11.741	0.024	AAA	222	111	000	2	0
156.04504200	-57.83096300	156.045042	-57.830963	10241081-5749514	16.420	0.149	16.044	0.198	14.828		BCU	220	110	000	2	0
156.03612900	-57.82634700	156.036129	-57.826347	10240867-5749348	15.805	0.184	14.182		13.709		CUU	266	200	c00	2	0
156.01219100	-57.83306100	156.012191	-57.833061	10240292-5749590	16.598	0.138	15.967	0.168	14.925		CCU	220	110	000	2	0
156.03365100	-57.82135000	156.033651	-57.821350	10240807-5749168	14.273	0.029	13.768	0.022	13.637	0.040	AAA	222	111	000	2	0
156.07292600	-57.81277100	156.072926	-57.812771	10241750-5748459	15.334	0.062	14.942	0.066	14.947	0.172	AAC	222	111	ccc	2	0
156.10226800	-57.82985300	156.102268	-57.829853	10242454-5749474	12.889	0.022	12.661	0.022	12.542	0.033	AAA	222	111	000	2	0
156.10239200	-57.81292300	156.102392	-57.812923	10242457-5748465	15.568	0.225	15.193	0.280	13.029		DDU	220	110	000	2	0
156.10539600	-57.82669400	156.105396	-57.826694	10242529-5749360	15.146		14.353		14.904	0.204	UUC	002	001	000	2	0
156.10108900	-57.82115900	156.101089	-57.821159	10242426-5749161	15.367		15.121	0.275	13.555	0.193	UDC	022	011	0c0	2	0
156.10663400	-57.81504800	156.106634	-57.815048	10242559-5748541	15.021		14.699	0.096	13.636	0.075	UAA	022	011	000	2	0
156.10570200	-57.82384900	156.105702	-57.823849	10242536-5749258	14.483		13.687		13.786	0.108	UUA	002	001	000	2	0
156.10113000	-57.82226200	156.101130	-57.822262	10242427-5749201	15.663	0.172	14.900	0.276	12.141		CDU	220	110	000	2	0
156.09566500	-57.82134200	156.095665	-57.821342	10242295-5749168	14.435		13.629		13.794	0.226	UUD	002	001	000	2	0
156.09695100	-57.81899600	156.096951	-57.818996	10242326-5749083	15.869	0.095	15.602	0.147	13.188	0.974	ABE	224	111	000	2	0
156.09753600	-57.81448400	156.097536	-57.814484	10242340-5748521	15.220	0.051	14.783	0.058	14.982	0.182	AAC	222	111	000	2	0
156.10066900	-57.82387900	156.100669	-57.823879	10242416-5749259	15.343	0.130	14.527	0.218	13.329	0.159	BDC	222	111	000	2	0
156.10007100	-57.82663000	156.100071	-57.826630	10242401-5749358	14.733	0.065	14.258	0.094	14.069	0.088	AAA	222	111	000	2	0
156.09809600	-57.82850300	156.098096	-57.828503	10242354-5749426	16.075	0.133	15.410	0.216	14.285	0.163	BCC	222	111	c00	2	0
156.10861400	-57.82210900	156.108614	-57.822109	10242606-5749195	15.907	0.148	13.778		12.434		BUU	200	100	000	2	0
156.10904800	-57.82169300	156.109048	-57.821693	10242617-5749180	14.336		13.556		13.452	0.131	UUB	002	001	000	2	0
156.09370100	-57.81950000	156.093701	-57.819500	10242248-5749102	15.282	0.100	14.853	0.096	14.838	0.197	AAC	222	111	000	2	0
156.11603400	-57.81800100	156.116034	-57.818001	10242784-5749048	10.963	0.024	10.326	0.022	10.152	0.019	AAA	222	111	000	2	0
156.12091300	-57.81367900	156.120913	-57.813679	10242901-5748492	15.916	0.081	15.067	0.074	14.658	0.135	AAB	222	212	ccc	2	0
156.12019900	-57.81259500	156.120199	-57.812595	10242884-5748453	15.019	0.033	14.465	0.049	14.072	0.091	AAA	222	212	c0c	2	0
156.11031100	-57.82039600	156.110311	-57.820396	10242647-5749134	15.444	0.176	14.716	0.244	13.314	0.172	CDC	222	111	cc0	2	0
156.11060800	-57.82571800	156.110608	-57.825718	10242654-5749325	16.350		16.437	0.305	14.413	0.102	UDA	022	011	000	2	0
156.11224700	-57.81916000	156.112247	-57.819160	10242693-5749089	16.022	0.211	14.350	0.177	13.076	0.133	CCB	222	111	ccc	2	0
156.11387700	-57.82192600	156.113877	-57.821926	10242733-5749189	14.283		15.369	0.134	12.394		UBU	626	020	0c0	2	0
156.11382600	-57.82074700	156.113826	-57.820747	10242731-5749146	13.424		13.260	0.062	12.092		UAU	626	020	0c0	2	0
156.11321200	-57.81339600	156.113212	-57.813396	10242717-5748482	15.600		14.361		14.151	0.135	UUB	002	001	000	2	0
156.09398500	-57.82489400	156.093985	-57.824894	10242255-5749296	15.747	0.083	15.171	0.139	13.935	0.159	ABC	222	111	000	2	0
156.09328500	-57.82262000	156.093285	-57.822620	10242238-5749214	15.074	0.192	14.267	0.229	12.806	0.166	CDC	222	111	000	1	0
156.06512500	-57.81993100	156.065125	-57.819931	10241563-5749117	14.783	0.113	14.324	0.199	13.615	0.164	BCC	222	111	cc0	2	0
156.06583700	-57.83540000	156.065837	-57.835400	10241580-5750074	15.424	0.047	14.808	0.049	14.532	0.098	AAA	222	111	000	2	0
156.06532900	-57.82201400	156.065329	-57.822014	10241567-5749192	11.885	0.028	11.607	0.029	11.452	0.030	AAA	222	111	000	2	0
156.06316900	-57.81765700	156.063169	-57.817657	10241516-5749035	14.543		15.354	0.297	12.746		UDU	020	010	000	2	0
156.06595800	-57.83050500	156.065958	-57.830505	10241582-5749498	16.279	0.176	14.368		13.673		CUU	200	100	c00	2	0
156.06441900	-57.82316600	156.064419	-57.823166	10241546-5749233	16.024	0.124	12.804		12.617		BUU	200	100	c00	2	0
156.06256600	-57.81915300	156.062566	-57.819153	10241501-5749089	15.949	0.233	14.729	0.161	13.618	0.128	DCB	222	111	c00	2	0
156.07584700	-57.82337200	156.075847	-57.823372	10241820-5749241	16.519	0.231	13.904		14.039	0.198	DUC	202	101	c0c	2	0
156.07430000	-57.83566300	156.074300	-57.835663	10241783-5750083	15.461	0.117	14.432	0.125	13.710	0.090	BBA	222	111	cc0	2	0
156.07615400	-57.82638500	156.076154	-57.826385	10241827-5749349	11.271	0.026	10.672	0.031	10.483	0.033	AAA	222	111	000	2	0
156.07059500	-57.82289900	156.070595	-57.822899	10241694-5749224	14.297		13.308		13.662	0.182	UUC	002	001	00c	2	0
156.07176700	-57.82140000	156.071767	-57.821400	10241722-5749170	13.535	0.035	11.704	0.036	10.843	0.033	AAA	222	111	000	2	0
156.07104900	-57.81544900	156.071049	-57.815449	10241705-5748556	16.010	0.148	14.506		13.340		BUU	200	100	c00	2	0
156.06979200	-57.82304400	156.069792	-57.823044	10241675-5749229	15.252	0.107	14.708	0.205	12.448		ACU	220	110	cc0	2	0
156.06989600	-57.81824900	156.069896	-57.818249	10241677-5749056	15.532	0.242	15.107	0.311	13.940	0.221	DDD	222	111	000	2	0
156.06723400	-57.82394000	156.067234	-57.823940	10241613-5749261	13.891	0.046	13.241	0.055	12.979	0.070	AAE	222	111	c00	2	0
156.06796500	-57.83119600	156.067965	-57.831196	10241631-5749523	15.942	0.149	15.260	0.206	14.764	0.182	BCC	222	111	000	2	0
156.06962000	-57.83271400	156.069620	-57.832714	10241670-5749577	15.849	0.094	15.343	0.150	14.710	0.152	ABB	222	111	000	2	0
156.08707400	-57.82492400	156.087074	-57.824924	10242089-5749297	13.657		12.870		12.957	0.160	UUE	002	001	000	2	0
156.08730700	-57.82614100	156.087307	-57.826141	10242095-5749341	13.926		13.074		12.807	0.139	UUE	002	001	000	2	0
156.08871700	-57.81835600	156.088717	-57.818356	10242129-5749060	16.230	0.121	15.743	0.162	13.909		BCU	220	110	000	2	0
156.08358900	-57.81633800	156.083589	-57.816338	10242006-5748588	16.829	0.194	15.824	0.171	15.738	0.324	CCD	222	111	ccc	2	0
156.09242200	-57.81278200	156.092422	-57.812782	10242218-5748460	13.569	0.026	13.260	0.025	13.264	0.033	AAA	222	111	000	2	0
156.08270400	-57.83035700	156.082704	-57.830357	10241984-5749492	14.969	0.044	14.426	0.070	13.587	0.102	AAA	222	111	000	1	0
156.07794000	-57.81689100	156.077940	-57.816891	10241870-5749008	15.681		14.916	0.081	13.662	0.055	UAA	022	022	0cc	2	0
156.07881800	-57.82443600	156.078818	-57.824436	10241891-5749279	14.199		15.205	0.300	13.565	0.190	UDC	022	011	0cc	2	0
156.07895000	-57.81777200	156.078950	-57.817772	10241894-5749039	16.150		15.427	0.110	14.748	0.140	UBB	022	022	0cc	2	0
156.08261800	-57.83471300	156.082618	-57.834713	10241982-5750049	16.369	0.120	15.907	0.162	13.701		BCU	220	110	000	2	0
156.08100700	-57.82832000	156.081007	-57.828320	10241944-5749419	14.441	0.094	13.903	0.171	12.902	0.160	ACC	222	111	000	2	0
156.13357900	-57.81443000	156.133579	-57.814430	10243205-5748519	16.315	0.169	15.434		15.377		CUU	200	100	000	2	0
156.13606100	-57.81275600	156.136061	-57.812756	10243265-5748459	16.176	0.158	15.828	0.186	15.143		CCU	220	110	000	2	0
156.12660200	-57.81365600	156.126602	-57.813656	10243038-5748491	16.353	0.110	15.485	0.106	15.402	0.223	BBD	222	111	000	2	0
156.12811800	-57.81808500	156.128118	-57.818085	10243074-5749051	14.502	0.033	13.988	0.035	13.805	0.047	AAA	222	111	000	2	0
155.92214500	-57.79899200	155.922145	-57.798992	10234131-5747563	17.306		15.708	0.161	15.032	0.152	UCB	022	011	000	0	0
155.92981100	-57.80611000	155.929811	-57.806110	10234315-5748219	16.362		15.134	0.091	14.128	0.073	UAA	022	011	0c0	0	0
155.92489300	-57.75709200	155.924893	-57.757092	10234197-5745255	16.341	0.128	15.749	0.149	14.947		BBU	220	110	000	0	0
155.91958700	-57.77798500	155.919587	-57.777985	10234070-5746407	15.624	0.072	15.104	0.102	14.671	0.090	AAA	222	111	000	0	0
155.90867300	-57.76564400	155.908673	-57.765644	10233808-5745563	15.474	0.054	14.778	0.072	13.873		AAU	220	110	000	0	0
155.92017200	-57.76474000	155.920172	-57.764740	10234084-5745530	15.372	0.061	14.846	0.089	14.708	0.134	AAB	222	111	000	0	0
155.92147000	-57.79331600	155.921470	-57.793316	10234115-5747359	15.256	0.046	14.870	0.068	14.509	0.092	AAA	222	111	000	0	0
